Organisme,Nature de l'organisme,Nom de famille,Prénom,Fonction,Intérêts représentés,Sexe
,,CASSAGNE,Serge,,Syndicat national des auteurs d'inventions indépendants (SNAII-CGT),H
CAISSE NATIONALE D'ASSURANCE MALADIE DES TRAVAILLEURS SALARIÉS,,LEVENDOF,Véronika,Direction générale - Mission veille législative,Assurance maladie - Caisse nationale (CNAMTS),F
ABOBI GHISLAIN,Personne physique,ABOBI,Ghislain,à son propre compte,ABOBI Ghislain,H
ACCENTURE,Entreprise privée,BOUTIN,Jean-Marie,directeur chargé des relations institutionnelles/présidence,ACCENTURE,H
ACCURAY,Entreprise privée,FRANZ,Xavier,Manager affaires gouvernementales et médico-économiques EIMEA - direction marketing,ACCURAY,H
ACFCI,Organisme public,PARDIGON,Jérôme,Responsable des relations institutionnelles,ACFCI (Assemblée des chambres françaises de commerce et d'industrie),H
ACN ALLIANCE POUR LA CONFIANCE NUMÉRIQUE,Organisation professionnelle,BOISTARD,Isabelle,Déléguée générale,"Alliance pour la Confiance Numérique Fédérations et associations : FIEEC, GIFAS, AFDEL Entreprises : ATT, Bull, Cassidian, CS, France Télécom Orange, IBM, Id3, Gemalto, Keynectis, Morpho, PrimX, Radiall, SAP, Siemens, STS, Thals, Xiring Laboratoires : CEA LETI Caisse des Dépôts",F
ADEN FRANCE,Association,MIDIERE,Olivier,Président,Alliance Tic's/SFIB (Syndicat professionnel Tic) ; Association française des développeurs logiciels (AFDEL) ; Confédération générale des PME (CGPME) ; Fédération française des télécoms ; Syntel Informatique ; Fédération des industries électriques et électroniques (FIEEC) ; Filière des industries électroniques et numériques (FIEN),H
AFER,Association,PAQUIN,Marie-Elsa,Présidence,Association Française d'Epargne et de retraite,F
AFTPR,Organisme public,DIOP,Babacar,Chargé de mission/PDG,"AFTPR (aménageur foncier, développement urbain)",H
AGENCE NATIONALE POUR LA RÉNOVATION URBAINE,Organisme public,PEYRICOT,Anne,"Directrice des relations institutionnelles, rattachée à la direction générale",ANRU agence nationale pour la rénovation urbaine,F
AIR FRANCE,Entreprise privée,MANENT,Patricia,Direction générale / Chargée des relations avec le Parlement et les institutions ,AIR FRANCE,F
AIR LIQUIDE SA,Entreprise privée,SUEUR,Thierry,Directeur des Affaires européennes et internationales/Rattaché au Président,AIR LIQUIDE,H
AIRBUS SAS,Entreprise privée,ALLANCHE,Claire,Directeur des affaires publiques France,AIRBUS SAS,F
ALKEA,Société de conseil,KOZLOWSKI,Laurent,Directeur-gérant,PRODIAL - RAGT - FINDUS - DUC - BONDUELLE - ROSCKWOOL - PAYEN - THERMAL CERAMICS - ELECTROPOLI,H
ALSTOM,Entreprise privée,LANGLAIS,Juliette,Chargée de mission affaires publiques - direction internationale,ALSTOM,F
ALSTOM TRANSPORT,Entreprise privée,BENASSAYAG,Maurice,Directeur des relations institutionnelles,ALSTOM TRANSPORT,H
AMERICAN JEWISH COMMITTEE,Association,ZAPPIA,Vincent,Chargé de mission affaires institutionnelles,American Jewish Committee,H
ANAJ-IHEDN,Association,MATTENS ,François,Secrétaire général,Promotion de l'esprit et de la culture de défense auprès de nos élus et citoyens,H
ANEM (ASSOCIATION NATIONALE DES ÉLUS DE LA MONTAGNE),Association,BRETEL,Pierre,Délégué général de l'ANEM (Association nationale des Elus de la montagne),ANEM (Association nationale des élus de la montagne),H
ANOCR,Association,AMEILHAUD,Jean-Paul,Conseiller auprès du président de l'Association nationale des officiers de carrière en retraite (ANOCR),"Association nationale des officiers de carrière en retraite des veuves, veufs et orphelins d'officiers (ANOCR)",H
ANPEA,Organisation professionnelle,POIDEVIN,Gilles,Président,ANPEA - Association nationale professionnelle pour les engrais et les amendements,H
