Organisme,Nature de l'organisme,Nom de famille,Prénom,Fonction,"Intérêts représentés","Date d'échéance du titre d'accès"
Accenture,Entreprise privée,BOUTIN,Jean-Marie,Directeur chargé des relations institutionnelles,,31/12/2013
Accuray,Entreprise privée,FRANZ,Xavier,Manager Affaires gouvernementales & médico-économique EIMEA,,31/12/2013
Aéroports de Paris,Entreprise privée,ARNOUX-COUDERC,Stéphanie,Chargée des Relations institutionnelles,,31/12/2013
Agence Nationale pour la Rénovation Urbaine (ANRU),Organisme public,PEYRICOT,Anne,Directrice des Relations institutionnelles,,31/12/2013
AIRBNB,Entreprise privée,BOUTET,Richard,Directeur des Relations institutionnelles,,31/12/2013
Airbus SAS,Entreprise privée,ALLANCHE,Claire,"Vice-Président Relations France, Union Européenne et Organisations internationales",,31/12/2013
Air France,Entreprise privée,MANENT,Patricia,Chargée des relations avec le Parlement et les Institutions,,31/12/2013
Air Liquide,Entreprise privée,SUEUR,Thierry,Directeur des Affaires européennes & internationales,,31/12/2013
Amnesty International France,Association,CASTAGNOS-SEN,Anne,Responsable des relations extérieures,,31/12/2013
Anocr,Association,BRITSCH,Bruno,Conseiller auprès du Président,,31/12/2013
Anthénor Public Affairs,Société de conseil,LAMARQUE,Gilles,Directeur général,"Association Française de l'Industrie des Fontaines à Eau, Agence de médecine préventive, Assocation nationale des Opérateurs détaillants en énergie, Association pour la Promotion de l'Innovation des Dispositifs Médicaux, Association française des sociétés de placement immobilier, Institut de la protection sociale, Syndicat de l'industrie du diagnostic in vitro, Syndicat national des négociants indépendants en métaux précieux, Union nationale des entreprises de l'assainissement non collectif, Républic Technologies, Visa, Vin et Société.",31/12/2013
APPSCPI,Association,BLANC,Serge,Secrétaire général,,31/12/2013
Assemblée des Départements de France (ADF),Association,JOUVIEN,Marylène,"Chef de service, chargée des relations parlementaires",,31/12/2013
Assemblée Permanente des Chambres d' Agriculture (APCA),Organisme public,BAUGIN,Guillaume,Conseiller parlementaire,,31/12/2013
Assemblée Permanente des Chambres de Métiers et de l'Artisanat (APCMA),Organisation professionnelle,SAILLARD,Béatrice,Directeur des Relations institutionnelles,,31/12/2013
Association des Maires de France (AMF),Association,TOUZET,Alexandre,Chargé de mission,,31/12/2013
Association des Maires des Grandes Villes de France (AMGVF),Association,POROT,Caroline,Chargée des Relations institutionnelles,,31/12/2013
Association des Petites Villes de France (APVF),Association,LARDIC,Florent Yann,Conseiller pour les politiques territoriales,,31/12/2013
Association des Régions de France,Association,ABRIC,Marielle,Conseillère parlementaire,,31/12/2013
Banque de France,Organisme public,BENSAÏD,Véronique,Conseillère parlementaire auprès du Gouverneur,,31/12/2013
BNP Paribas,Entreprise privée,SANTINI,Jean-Jacques,Directeur de la Direction des Affaires institutionnelles,,31/12/2013
CAPEB,Organisation professionnelle,PROUX,Dominique,Responsable des Relations Institutionnelles et Parlementaires,,31/12/2013
Carrefour,Entreprise privée,RICHARD DE LATOUR,Jean,"Directeur des Études, de l'Innovation et des Affaires publiques",,31/12/2013
Ceges,Organisation professionnelle,VERNY,Emmanuel,Délégué général,"Association des fondations pour l'économie sociale - Fédération Nationale de la Mutualité Française - GEMA - UNIFED - Union des Employeurs de l'Economie Sociale et Solidaire - Conseil National des Chambres Régionales de l'Economie Sociale - L'Economie Partenaire de l'Ecole de la République - Centre des Jeunes, des Dirigeants, des Acteurs de l'Economie Sociale - Caisse d'Epargne - Chèque déjeuner - MACIF - MAIF - MATMUT - La Mutuelle des Motards - Conférence Permanente des Coordinations Associatives ",31/12/2013
Centre National d'Études Spatiales (CNES),Etablissement public,TREFOURET,Pierre,"Directeur de la communication externe, de l'Éducation et des Affaires publiques",,31/12/2013
Chambre de Commerce & d'industrie (ACFCI),Organisme public,PARDIGON,Jérôme,Responsable des relations institutionnelles,,31/12/2013
Chambre de Commerce & d'industrie de la région Paris IDF,Organisme public,ETIENNE-MARTIN,Véronique,Conseiller parlementaire,,31/12/2013
CIWF France,Bureau français affilié à l'ONG CIWF,GIGNOUX,Agathe,Chargée d'Affaires publiques,,31/12/2013
Commissariat à l'Énergie Atomique et aux Énergies Alternatives (CEA),Organisme public,VIGOUROUX,Jean-Pierre,Chargé des relations avec le Parlement,,31/12/2013
Commission de régulation de l'énergie,Autorité administrative,de SAINT-MARTIN,France,Chargée de mission,,31/12/2013
Commission Supérieure du Service Public des Postes et des Communications électroniques (CSSPPCE),Commision extra-parlementaire,PENINQUE,Claude,Conseiller technique,,31/12/2013
Communication Publique,Association,de CHAVAGNAC,Aude,Membre du Conseil d'Administration,,31/12/2013
Compagnie Nationale des Commissaires aux Comptes (CNCC),Organisation professionnelle,HUREL,François,Délégué général,,31/12/2013
Com'Publics,Société de conseil,TEYSSIER d'ORFEUIL,Marc,Directeur général,"Club de la Table Française - Club des Voitures Ecologiques - Club du Dernier Kilomètre de Livraison - Club des Partenariats Publics-Privés - Club des PPP MedAfrique - Club de l'Emballage léger en Aluminium et en Acier - Club de l'accession à la Propriété - Club des maires de la rénovation urbaine - Club France Terre de Tourisme - Club bois et forêts",31/12/2013
Conseil du Commerce de France,Organisation professionnelle,FAVOREL PIGE,Fanny,Secrétaire générale,,31/12/2013
Conseil National des Barreaux,Organisation professionnelle,BRIAND,Jacques-Edouard,Conseiller Pouvoirs publics,,31/12/2013
"Conseil National des Barreaux, Barreau de Paris, Conférence des Bâtonniers",Organisation professionnelle,LOUIS-TREFOURET,Françoise,Responsable des relations institutionnelles,,31/12/2013
Conseil Supérieur de l'Ordre des Experts-Comptables,Organisation professionnelle,LOPEZ,Ugo,Directeur de Cabinet,,31/12/2013
Conseil Supérieur du Notariat,Organisme public,MANDELLI,Christine,Administrateur chargé des relations avec les Institutions,,31/12/2013
Coop de France,Organisation professionnelle,de BRETTEVILLE,Irène,Responsable des relations parlementaires,,31/12/2013
Crédit Agricole SA,Entreprise privée,BRUNEL,Jérôme,Directeur des Affaires publiques,,31/12/2013
Droits des Non fumeurs (DNF),Association,LEQUET,Stephen,Responsable des relations institutionnelles,,31/12/2013
Eco-Emballages,Entreprise privée,NEYME,Ismaël,Directeur Relations institutionnelles,,31/12/2013
EADS,Entreprise privée,PERRIMOND du BREUIL,Annick,Directeur des Relations avec le Parlement,,31/12/2013
EDF,Organisme public,TROUVÉ,Gérard,Directeur des Affaires publiques,,31/12/2013
Emevia,Union des Mutuelles étudiantes délégataires de services publiques,CHKROUN,Benjamin,Délégué général, Mutuelles étudiantes SMEREP / SMERRA / SMECO/ SMEREB / MGEL /MEP / VITTAVI / SMENO / SMEBA / SMERAG / SEM,31/12/2013
Euralia France,Société de conseil,SALLE,Didier,Directeur général,"Rn2D, Smart&Co, CNEFAF, Monoprix, Hammerson, Kellogs, CTI, ASRC, CETIM, Fevem, ACTIA",31/12/2013
Eurodom (L'Europe et les Départements d'Outre mer),Association,de la MAISONNEUVE,Laetitia,Chargée des relations avec le Parlement,"Filière ""Rhum"" (CIRT-DOM) - Filière ""Banane"" (UGPBAN) - Filière ""Sucre"" - les AMPI (Associations des moyennes et petites industries) - CCI des DOM - ARIBEV - ARIPA",31/12/2013
Fairvalue Corporate & Public Affairs,Société de conseil,HOMMEAU,Marie,Consultante en affaires politiques,"Sorin Group - Fédération des Particuliers employeurs de France - Iperia - Anacofi",31/12/2013
Fargo RDN,Société de conseil,LE MENN,Anne-Sophie,Consultante relations avec le Parlement,"Sonergia - Vitivista - Claas France - ABC Déchets",31/12/2013
Fédération de l'Hospitalisation Privée (FHP),Organisation professionnelle,FREMONDIERE,Anthony,Directeur du Développement et des affaires institutionnelles,,31/12/2013
Fédération des Entreprises d'Outre-Mer (FÉDOM),Organisation professionnelle,BADAT-KARAM,Samia,Directrice des Affaires publiques,,31/12/2013
Fédération des Entreprises Publiques Locales (FEDEPL),Organisation professionnelle,DURNERIN,Thierry,Directeur général,,31/12/2013
Fédération des Industries des Équipements pour Véhicules (FIEV),Organisation professionnelle,ARONICA,Charles,Directeur juridique,"FIEV (fédération des Industries des Equipements pour Véhicules) - SFEPA (syndicat des Fabricants D'Équipements et de Pièces pour Automobiles)",31/12/2013
FF3C (Fédération Française de Carburants & Chauffage),Organisation professionnelle,PLAN,Frédéric,Délégué général,,31/12/2013
Fédération Française des Masseurs Kinésithérapeutes Rééducateurs,Organisation professionnelle,PERNOT,Cyrille,Responsable des relations institutionnelles,,31/12/2013
Fédération Française des Sociétés d'Assurances (FFSA),Organisation professionnelle,LABORDE,Jean-Paul,Directeur des Affaires parlementaires,,31/12/2013
Fédération Française des Télécoms,Organisation professionnelle,LAVALLADE,Pierre-Yves,Directeur général adjoint,"Afors - Bouygues Telecom - Colt France - France Telecom - Orange - La Poste Mobile - NRJ Mobile - Omea Telecom - SFR - M6 Mobile - Prosodie - Atos Worldline - Legos - Wifirst",31/12/2013
Fédération Française des Vins d'Apéritifs (FFVA),Organisation professionnelle,VEREECKEN,Jean-Jacques,Directeur,"Conseil National des Vins Aromatisés (CNVA) - Syndicat des Grandes Marques de Porto (SGMP) - Syndicat Français des Vins Mousseux (SFVM)",31/12/2013
Fédération Générale des Mines et Métallurgie - CFDT,Organisation professionnelle,LE GUERN,Myriam,Chargée des Relations institutionnelles,,31/12/2013
Fédération Nationale des SCoT,Association,STREBLER,Jean-Philippe,Directeur,,31/12/2013
Fédération Nationale des Syndicats d'Exploitants Agricoles (FNSEA),Organisation professionnelle,NORMAND,Nadine,Chargée des relations avec le Parlement,,31/12/2013
Fédération nationale du Crédit Agricole,Association,CADORET,Jean-Louis,Chargé des relations avec le Parlement,,31/12/2013
FM Lighthouse,Société de conseil,MANNEVILLE,François,Président,,31/12/2013
Fonds de Garantie des Assurances Obligatoires de Dommages (FGAO),Entreprise privée,AUROUSSEAU PERRIN,Yolaine,Directrice des Relations institutionnelles,"Fonds de Garantie des Assurances Obligatoires de Dommages - Fonds de Garantie des Victimes de Terrosisme et d'autres Infractions (FGTI)",31/12/2013
FP2E,Fédération professionnelle,MATHIEU,Tristan,Délégué général,"Véolia Eau et ses filiales - Lyonnaise des Eaux et ses filiales - Saur et ses filiales - Sogedo - Nantaise des Eaux Service - Sefo",31/12/2013
G-NOVA,Association,ARTUSIO,Lionel,Vice-Président en charge des relations publiques,,31/12/2013
Gie Afer,Association,PAQUIN,Marie-Elsa,Chargée des Relations institutionnelles,,31/12/2013
