Organisme,Nature de l'organisme,Nom de famille,Prénom,Fonction,Intérêts représentés,Date d'échéance du titre d'accès
Accompagnements Institutionnels vers les Pouvoirs Publics (Ai2P),Société de conseil,DE MONTESQUIOU,Alexandre,Directeur Associé,Astra France - Conseil National des Administrateurs Judiciaires et des Mandataires Judiciaires (CNAJMJ) - Syndicat des Energies Renouvelables (SER) - Compagnie Nationale des Conseils en Propriété industrielle (CNCPI) - Association des Fournisseurs de Cigares en france (AFCF),31/12/2015
AGC&C,Entreprise privée,GUILLEN,Alain,Président fondateur,Lafarge France - Siniat France - Groupe Oxial Oxialive,31/12/2015
Airbus Group,Entreprise privée,PERRIMOND DU BREUIL,Annick,Directeur des relations avec le Parlement,,31/12/2015
Air France,Entreprise privée,MANENT,Patricia,Chargée des relations avec le Parlement et les Institutions,,31/12/2015
Air Liquide,Entreprise privée,SUEUR,Thierry,Directeur des Affaires européennes et internationales,,31/12/2015
Aliapur,Organisation professionnelle,DURBIANO,Richard,Directeur des relations institutionnelles,,31/12/2015
Alliance of Mediterranean Women Abroad (AMEWA),Association,CHAKRI,Latifa,Présidente,,31/12/2015
Alpiq,Entreprise privée,LECERF,Géry,Responsable des Affaires publiques et de la Communication,Alpiq Energie France SAS - Alpiq AG - 3CB SAS,31/12/2015
Anthénor Public Affairs,Société de conseil,LAMARQUE,Gilles,Directeur général - Gérant,"Association pour la Promotion de l'Innovation des Dispositifs Médicaux, Association Française de l'Industrie des Fontaires à Eau, Association Nationale des Opérateurs détaillants en Energie, Union des Industries du Véhicule de Loisirs,Club parlementaire de la Protection Sociale, Republic Technologies, Syndicat de l'Industrie du Diagnostic in Vitro, Vin et Société,Syndicat National des Négociants Indépendants en Métaux Précieux, Burger King, France Hydro Electricité, Groupement National de la Restauration, Fédération de Karaté Traditionnel, Degueldre gestion, Syndicat National des Changeurs et Auxiliaires Financiers, Yprema, Eparco, club parlementaire sur l'Avenir de l'Audiovisuel et des Médias, Club parlementaire sport.",31/12/2015
AR2S,Association,PILLOT-CHANTELOUBE,Hervé,Vice-Président,AR2S Gérontopole de Saint-Etienne,31/12/2015
Assemblée des Départements de France (ADF),Association,JOUVIEN,Marylène,Attachée parlementaire,,31/12/2015
Assemblée Permanente des Chambres d'Agriculture (APCA),Organisme public,BAUGIN,Guillaume,Conseiller parlementaire,,31/12/2015
Assemblée Permanente des Chambres de Métiers et de l'Artisanat (APCMA),Organisme public,SAILLARD,Béatrice,Directeur du Département des relations institutionnelles,,31/12/2015
Association des Parents en Détresse (APED),Association,AVEL,Marc,Président,,31/12/2015
Association Nationale des Officiers de Carrière en Retraite (ANOCR),Association,BRITSCH,Bruno,Conseiller auprès du Président,,31/12/2015
Banque de France,Autorité administrative,BENSAÏD,Véronique,Conseillère parlementaire auprès du Gouverneur,Banque de France - ACPR,31/12/2015
Caisse Centrale de la Mutualité Sociale Agricole (CCMSA),Organisme privé chargé d'une mission de service public,SIMON,Christophe,Chargé des relations parlementaires,,31/12/2015
Centre National d'Etudes Spatiales (CNES),Organisme public,TREFOURET,Pierre,Directeur de Cabinet du Président,,31/12/2015
Chambre de Commerce et d'Industrie de Région Paris Ile-de-France (CCIP),Organisme public,ETIENNE-MARTIN,Véronique,Directeur des Affaires publiques et de la Valorisation des études,,31/12/2015
Chambre française de l'économie sociale et solidaire,Organisation professionnelle,VERNY,Emmanuel,Délégué Général,Centre français des fonds et fondations pour les fondations - CNCRESS pour les CRESS - Coop FR pour les coopératives - FNMF pour les mutuelles relevant du code de la mutualité - GEMA pour les mutuelles relevant du code des assurances - Mouvement associatif pour les associations - MOUVES pour les entrepreneurs sociaux - Union des employeurs de l'Economie sociale (UDES) - ESPER (Economie Sociale Partenaire de l'Ecole de la République),31/12/2015
Com' Publics,Entreprise privée,TEYSSIER D'ORFEUIL,Marc,Directeur général,,31/12/2015
Commissariat à l'Energie Atomique et aux énergies Alternatives (CEA),Organisme public,VIGOUROUX,Jean-Pierre,Chef du service des Affaires publiques,,31/12/2015
Commission de régulation de l'Énergie,Autorité administrative,DE SAINT-MARTIN,France,Chargée de mission pour les relations institutionnelles,,31/12/2015
