Organisme,Nature de l'organisme,Nom de famille,Prénom,Fonction,Intérêts représentés,Date d'échéance du titre d'accès
Accompagnements Institutionnels vers les Pouvoirs Publics (Ai2P),Société de conseil,DE MONTESQUIOU,Alexandre,Directeur Associé,Astra France - Conseil National des Administrateurs Judiciaires et des Mandataires Judiciaires (CNAJMJ) - Syndicat des Energies Renouvelables (SER) - Compagnie Nationale des Conseils en Propriété industrielle (CNCPI) - Association des Fournisseurs de Cigares en france (AFCF),31/12/2016
Affaires Publiques Consultants,Société de conseil,ADLER,Jean-Christophe,Président,"AEPJ, Apple, Association RMC-BFM - B.A. ba Solidarité, Baxter - 5 à Sec, Disneyland Paris - Groupe Next Radio TV, Resto Flash - SENSEE, Unilend",31/12/2016
Airbus Group,Entreprise privée,PERRIMOND DU BREUIL,Annick,Directeur des relations avec le Parlement,Airbus Group,31/12/2016
Air France,Entreprise privée,MANENT,Patricia,Chargée des relations avec le Parlement et les Institutions,Air France,31/12/2016
Anacofi,Association,GERAUDIE,Patrice,Secrétaire général,Anacofi,31/12/2016
Anthénor Public Affairs,Société de conseil,LAMARQUE,Gilles,Directeur général - Gérant,"Association pour la Promotion de l'Innovation des Dispositifs Médicaux, Association Française de l'Industrie des Fontaires à Eau, Association Nationale des Opérateurs détaillants en Energie, Union des Industries du Véhicule de Loisirs,Club parlementaire de la Protection Sociale, Republic Technologies, Syndicat de l'Industrie du Diagnostic in Vitro, Vin et Société,Syndicat National des Négociants Indépendants en Métaux Précieux, Burger King, France Hydro Electricité, Groupement National de la Restauration, Fédération de Karaté Traditionnel, Degueldre gestion, Syndicat National des Changeurs et Auxiliaires Financiers, Yprema, Eparco, club parlementaire sur l'Avenir de l'Audiovisuel et des Médias, Club parlementaire sport.",31/12/2016
Assemblée des Départements de France (ADF),Association,JOUVIEN,Marylène,Attachée parlementaire,Assemblée des Départements de France (ADF),31/12/2016
Association des Maires de France (AMF),Association,DE FONTAINES,Charlotte,Chargée des relations avec le Parlement,Association des Maires de France (AMF),31/12/2016
Association Nationale des Elus du Littoral (ANEL),Association,LAIR,Christine,Déléguée générale,Association Nationale des Elus du Littoral (ANEL),31/12/2016
Banque de France,Autorité administrative,BENSAÏD,Véronique,Conseillère parlementaire auprès du Gouverneur,Banque de France - ACPR,31/12/2016
Centre National d'Etudes Spatiales (CNES),Organisme public,TREFOURET,Pierre,Directeur de Cabinet du Président,Centre National d'Etudes Spatiales (CNES),31/12/2016
Chambre de Commerce & d'industrie France,Organisme public,PARDIGON,Jérôme,Directeur des Relations institutionnelles,Chambre de Commerce & d'industrie France,31/12/2016
Chambre de Commerce et d'Industrie de Région Paris Ile-de-France (CCIP),Organisme public,ETIENNE-MARTIN,Véronique,Directeur des Affaires publiques et de la Valorisation des études,Chambre de Commerce et d'Industrie de Région Paris Ile-de-France (CCIP),31/12/2016
Com' Publics,Entreprise privée,TEYSSIER D'ORFEUIL,Marc,Directeur général,Com' Publics,31/12/2016
Commission Nationale de l'Informatique et des Libertés (CNIL),Autorité administrative,INGLEBERT,Thiphaine,Conseillère pour les questions institutionnelles et parlementaires,Commission Nationale de l'Informatique et des Libertés (CNIL),31/12/2016
